comment_text,sentiment
so maja this gaana ,Positive
328 yaha se kon kon sunta h ,Neutral
i think there are so many single people along with me but still we watched this song because we love music and only relate with song not in love story ,Positive
anyone in 2026 ,Neutral
329 hits ,Positive
here on february 2025 ,Neutral
masterpiece movie masterpiece song ,Positive
now how would we listen to their collab ,Neutral
329 khwabon ko jagah na mili ,Positive
my favourite song ,Positive
anyone in 2026 ,Neutral
we will miss you arijit sir ,Positive
arijit singh ,Positive
this song is awesome ,Positive
2026 anyone ,Neutral
work only ,Neutral
starry eyed daughter of chaos knows her place sometimes i just want fresh air want to go on a ride at times ,Neutral
the outro ,Neutral
heard someone saying this songs explains situationship the best ,Neutral
anyone in 2026 ,Neutral
anyone in 2026 ,Neutral
2026like kardo ,Neutral
one of my favourite songs like it so i can listen to it again and again ,Positive
one of the fazool tareen song ,Negative
anyone here in 1st january 2026 ,Neutral
hi ,Neutral
anyone 2026 ,Neutral
great ,Positive
329 ,Positive
ya to 90 plus de do ya fir 95 de do wo galat tha ye sahi h bas etna ahsan kr do muskil asan kr do mujhe top kr do ,Neutral
arjit from assam ,Neutral
aditya roy kapoor ,Neutral
emmmmmm ,Neutral
hearing339 ,Neutral
never gets old ,Positive
ap bhaiiiiiiiiii pagal kar diya yaarrrrrrrrrrrtr ,Positive
how anyone sing a like that uff arjit singh sir had a great job he is like free gift for bollywood and music ,Positive
koi itna achha kaise gaa sakta hai yaar ,Positive
الطاقه الحمرا ,Neutral
sa completely dissociate thats why it is they are not under consideration of hydrolysis ,Neutral
328 for me ,Positive
best movie i seen in years ,Positive
dil ko chu jati hai song ,Positive
amazing ,Positive
my favourite song ,Positive
beautiful movie ,Positive
hence proved that bollywood songs are just great to listen but not to see ,Neutral
this is the sound that reminds me her everything ,Positive
reminded me lockdown days ,Neutral
329 has a separate fans ,Positive
145 hard touch line ,Positive
what a song ,Positive
bo gatal tha ye sahi hai juth ye aj kah doo 1111 ,Neutral
please give credits to the og kaka ,Neutral
nice song ,Positive
i like this song ,Positive
the real master piece film by anurag basu the background music of all his films is awesome whether its saaya or metro in dino murder or barfi it always has smoothness love your work sir a great director writer screenplay story teller all the characters in this movie were well connected with center character pankaj tripathi sattu don ,Positive
instragram se u turn wale just know like ,Neutral
25 wale yaha dabao ,Neutral
2025nov ,Neutral
to day 19112025 ,Neutral
love u pritam ,Positive
329 arijit singing after having amrut ,Positive
sanya and aditays chemistry was so beautiful ,Positive
2025 november ,Neutral
this song hits different ,Positive
2026 attendance ,Neutral
2025 le love ,Neutral
the most sensitive story is of abhishek bachchans ludo loved his acting ,Positive
woah just heard this while watching ludo had to stop to come listen again and again swet song ,Positive
im leaving this comment here so after a month or a year when someone likes it i get reminded nd this masterpiece ,Positive
aww this tune makes me more mad and addicticted ,Positive
5 years of ludo 2025 ,Neutral
both songs of ludo are gems ,Positive
all talented assemble here ,Positive
very good song ,Positive
miss u ,Neutral
2025 ,Neutral
one of the beautiful song from bollywood love from pak ,Positive
this is ,Neutral
𝟑𝟐𝟗 ,Positive
2025 wale attendance lagao ,Neutral
barbaada kardo aabaada karado ,Neutral
shachi tayal ,Neutral
me waiting abhishek bachchan scene ,Neutral
good जॉब ,Positive
arijit singh ,Positive
gus bum ,Neutral
anyone 2025 ,Neutral
what u want me to dokehena kya chahathe ho ,Neutral
this song such most important lesson for me ,Positive
the best thing happened during covid days ,Positive
330 awesome ,Positive
october 2025 ,Neutral
all time favorites 2025 2627 ,Positive
r ,Neutral
417 waiting for this ,Neutral
ttvi ,Neutral
any one in 2025 ,Neutral
sheren farad k baap ka bosdaaur lyricist ki ammi ki choot ,Negative
thia song is so addicting ,Positive
341 ,Neutral
khushnood viccaji ,Neutral
movie is ok but song is ,Positive
dps jodhpur ,Neutral
sukesh ,Neutral
shachi tayal ,Neutral
resonance ,Neutral
sara regina ,Neutral
aryan jain kmc manipal ,Neutral
vandana ke mam ,Neutral
ghalib pg ,Neutral
rahul magazine sir ,Neutral
randhir sir manipal ,Neutral
apne bacchon ko kya jawaab doge ,Neutral
umar farooq allah o akbar ,Neutral
overconfidence and underconfidence ,Neutral
ghalib pg ,Neutral
mother ,Neutral
apne bacchon ko kya jawaab doge ,Neutral
dangerous love ,Neutral
1 10 2025 woh is anyone ,Neutral
start to end totally goosebumps ,Positive
2025 september 30 ,Neutral
i will be back in future ,Neutral
sanya is such an underrated actress i wish to see more of her ,Positive
i love u abhishek ,Positive
banger ,Positive
it was 2024 april after completing our exam im giving my birthday treat on that day my comfy friends are around me sen som we talked about life that song was playing on background of that cafe that was the last best memory i had ,Positive
328 lyrics at its peak 352 ,Positive
329 ,Positive
i love my arjit singh is my ,Positive
best jodi i like is rajkumar rao ,Positive
hope you see this ,Neutral
joom music ,Neutral
ludo ek achchi film hai sabhi log dekh lo ,Positive
beautiful ,Positive
2025 attendance here ,Neutral
last part aaaaah for abhishek ,Positive
what a masterpiece song ,Positive
kitni baar bhi sun lo mann nhi bharta is song se my most favorite song ever ,Positive
anyone 2025 september ,Neutral
hi ,Neutral
329 is my favorite ,Positive
0054 ,Neutral
why am i smiling ,Positive
khwabo ko jagah na mili ankho me waha pehle se hi sailab tha what a heartmelting lines ,Positive
2025 listening anyone ,Neutral
allh ka bosda kar do mohmmed ki ammi chod dolyrics likhne wale ki gnnd me urdu bar do ,Negative
wow nice ,Positive
us time e ek ladki ke sath pyar ho gaya tha ab wo mujhse 23 sal badi thi abhi uski sadi ho chuki he ek bacchi bhi he me aj bhi is gane ko sunke uski yad me kho jata hu yr 5 sal ho bhi gaya sala hasi ata he ab ,Neutral
who is here on august 2025 ,Neutral
felix ,Neutral
this song reminds me of my school trip where i was having the best time of my life with my best friends and there was a cultural programme and me and my best friend both of us were standing near the riverfront and this song was being played by the organisers core memories i miss those days sm ,Positive
i watched this video million times ,Positive
memorable song ,Positive
subscribe ,Neutral
seen this movie in covid what a movie ,Positive
225 ,Neutral
a life like this ,Neutral
lodo is movie gaana munbar 1song broobad kar do hit for lagalnad 100 years bada ma hit rayaga ,Positive
meeta sa jehar ,Positive
september 2025 here masterpiece song arjit kaka ,Positive
mashallah ,Positive
210 i melt there mitha sa ,Positive
need re release of this movie ,Positive
today i have seen this movie ,Positive
50 ,Neutral
jai shree jagganath baba ,Positive
im leaving this comment here when someone likes it i am reminded of this masterpiece ,Positive
movie name ,Neutral
2040 anyone ,Neutral
love it ,Positive
august 2025 anyone ,Neutral
bandiya ,Neutral
329 this part has my whole heart ,Positive
masterpiece ,Positive
i love this song ,Positive
anyone 2025 ,Neutral
peak lyricism ,Positive
someone please send me this movie link ,Neutral
i had corona and was under treatment when this movie was released ,Neutral
2025 me kon kon sun raha hai ,Neutral
gen z ke liye arijit mohd rafi hai ,Positive
god gift voice arijit singh ,Positive
328 hits different ,Positive
013 028 028 028 028 029 036 ,Neutral
in love with rajkumar raos part ,Positive
pure goosebumps honey paaji missed you ,Positive
zbddj safe shdsj djf ,Neutral
14072025 215pm ,Neutral
329 ,Positive
one of best song of my whole life ,Positive
2026 anyone ,Neutral
metroin dino reminded me how beautiful ludos album was ,Positive
masterpieceof arijit sing ,Positive
i am glad this song is not underrated ,Positive
that line meri bejaan hasraton ko qabilein daar kr do i listen to this more than 10 times at a time ,Positive
2025 ,Neutral
2025 july ,Neutral
2025 attendance ,Neutral
i see you ,Neutral
4072025 1237 ,Neutral
